City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
68,lavrentiya,65.5833,-171.0,-13.82,86,22,0.41,RU,2023-04-16 20:54:07
69,thompson,55.7435,-97.8558,4.09,35,40,2.06,CA,2023-04-16 21:03:34
70,nanortalik,60.1432,-45.2371,1.86,81,93,1.11,GL,2023-04-16 20:54:34
71,qaanaaq,77.484,-69.3632,-15.52,88,5,1.18,GL,2023-04-16 21:03:35
72,ambon,-3.6954,128.1814,24.08,88,20,4.12,ID,2023-04-16 21:03:35
73,mehamn,71.0357,27.8492,1.97,69,0,1.54,NO,2023-04-16 21:03:35
74,vinh,18.6667,105.6667,23.16,92,95,0.34,VN,2023-04-16 21:03:36
75,saskylakh,71.9167,114.0833,-12.07,96,100,4.67,RU,2023-04-16 21:03:36
76,port macquarie,-31.4333,152.9167,17.72,66,28,4.99,AU,2023-04-16 20:54:17
77,vitim,59.4511,112.5578,-21.22,99,25,1.66,RU,2023-04-16 21:03:36
78,road town,18.4167,-64.6167,29.05,65,40,5.14,VG,2023-04-16 20:58:55
79,chuy,-33.6971,-53.4616,16.86,68,100,4.0,UY,2023-04-16 21:03:37
80,nome,64.5011,-165.4064,-13.96,78,0,0.0,US,2023-04-16 20:54:50
81,clyde river,70.4692,-68.5914,-14.87,78,0,7.72,CA,2023-04-16 20:54:47
82,kapaa,22.0752,-159.319,26.99,79,100,3.6,US,2023-04-16 21:03:38
83,namatanai,-3.6667,152.4333,25.24,83,99,2.03,PG,2023-04-16 21:03:38
84,comodoro rivadavia,-45.8667,-67.5,14.92,38,0,3.6,AR,2023-04-16 20:53:47
85,yatou,37.15,122.3833,8.01,65,80,3.11,CN,2023-04-16 21:03:39
86,hithadhoo,-0.6,73.0833,28.61,67,93,1.82,MV,2023-04-16 21:03:39
87,port alfred,-33.5906,26.891,17.72,75,2,5.05,ZA,2023-04-16 21:03:39
88,mahebourg,-20.4081,57.7,25.16,88,40,1.03,MU,2023-04-16 21:03:40
89,punta arenas,-53.15,-70.9167,7.06,53,75,9.26,CL,2023-04-16 21:01:04
90,mongoumba,3.6415,18.5936,22.53,95,98,1.48,CF,2023-04-16 21:03:40
91,cidreira,-30.1811,-50.2056,21.94,85,52,2.84,BR,2023-04-16 21:03:41
92,novopokrovka,49.8425,36.5477,6.52,56,100,3.89,UA,2023-04-16 21:03:41
93,kismayo,-0.3582,42.5454,27.82,75,79,4.32,SO,2023-04-16 21:03:41
94,healdsburg,38.6105,-122.8692,21.67,47,20,4.12,US,2023-04-16 21:03:41
95,vaini,-21.2,-175.2,25.09,88,75,5.66,TO,2023-04-16 21:03:42
96,alfatar,43.95,27.2833,12.01,92,99,4.16,BG,2023-04-16 21:03:42
97,cap malheureux,-19.9842,57.6142,24.7,81,12,0.45,MU,2023-04-16 20:53:51
98,saint-philippe,-21.3585,55.7679,23.77,81,34,3.02,RE,2023-04-16 21:03:42
99,karratha,-20.7377,116.8463,20.93,33,1,5.59,AU,2023-04-16 21:03:42
100,bethel,41.3712,-73.414,21.87,72,0,3.09,US,2023-04-16 21:03:42
101,carballo,43.213,-8.691,16.83,89,36,1.05,ES,2023-04-16 21:03:43
102,mbabane,-26.3167,31.1333,10.55,89,0,1.67,SZ,2023-04-16 21:03:43
103,berlevag,70.8578,29.0864,2.0,69,0,4.63,NO,2023-04-16 21:03:43
104,bartica,6.4,-58.6167,26.18,82,96,2.01,GY,2023-04-16 21:03:43
105,hasaki,35.7333,140.8333,10.68,75,100,5.91,JP,2023-04-16 20:54:01
106,poum,-20.2333,164.0167,26.24,86,92,8.92,NC,2023-04-16 21:03:43
107,dwarka,22.2394,68.9678,26.34,83,0,3.92,IN,2023-04-16 21:03:44
108,ahuimanu,21.4447,-157.8378,27.84,67,0,4.63,US,2023-04-16 21:03:44
109,barrow,71.2906,-156.7887,-18.99,71,75,5.66,US,2023-04-16 21:03:44
110,bengkulu,-3.8004,102.2655,23.82,92,100,1.44,ID,2023-04-16 21:00:45
111,viransehir,37.2353,39.7631,15.28,52,100,2.52,TR,2023-04-16 21:03:44
112,gazanjyk,39.2446,55.5154,10.3,33,8,3.81,TM,2023-04-16 21:03:45
113,biak,-0.9131,122.8766,24.63,86,68,0.45,ID,2023-04-16 21:03:45
114,mitchell,43.7094,-98.0298,11.99,25,0,13.89,US,2023-04-16 21:03:45
115,upernavik,72.7868,-56.1549,-12.74,93,99,4.54,GL,2023-04-16 21:03:45
116,constitucion,-35.3333,-72.4167,14.59,69,0,4.8,CL,2023-04-16 21:03:45
117,domoni,-12.2569,44.5319,26.84,83,100,2.68,KM,2023-04-16 21:03:46
